#Id	Can be broken by	Normal Drop	Ultimallet Drop	Description
342	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
343	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
344	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
345	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
346	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
347	Unscoopable	Nothing {-1}	0	0
348	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
349	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
350	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
351	Giant Mallet	Hardwood Column {White} x1 {2777}	Hardwood Column Midsection {White} x1 {2793}	0
352	Giant Mallet	Hardwood Column {Black} x1 {2778}	Hardwood Column Midsection {Black} x1 {2794}	0
353	Giant Mallet	Hardwood Column {Purple} x1 {2779}	Hardwood Column Midsection {Purple} x1 {2795}	0
354	Giant Mallet	Hardwood Column {Pink} x1 {2780}	Hardwood Column Midsection {Pink} x1 {2796}	0
355	Giant Mallet	Hardwood Column {Red} x1 {2781}	Hardwood Column Midsection {Red} x1 {2797}	0
356	Giant Mallet	Hardwood Column {Green} x1 {2782}	Hardwood Column Midsection {Green} x1 {2798}	0
357	Giant Mallet	Hardwood Column {Yellow} x1 {2783}	Hardwood Column Midsection {Yellow} x1 {2799}	0
358	Giant Mallet	Hardwood Column {Blue} x1 {2784}	Hardwood Column Midsection {Blue} x1 {2800}	0
359	Giant Mallet	Hardwood Column {White} x1 {2777}	Hardwood Pedestal {White} x1 {2801}	0
360	Giant Mallet	Hardwood Column {Black} x1 {2778}	Hardwood Pedestal {Black} x1 {2802}	0
361	Giant Mallet	Hardwood Column {Purple} x1 {2779}	Hardwood Pedestal {Purple} x1 {2803}	0
362	Giant Mallet	Hardwood Column {Pink} x1 {2780}	Hardwood Pedestal {Pink} x1 {2804}	0
363	Giant Mallet	Hardwood Column {Red} x1 {2781}	Hardwood Pedestal {Red} x1 {2805}	0
364	Giant Mallet	Hardwood Column {Green} x1 {2782}	Hardwood Pedestal {Green} x1 {2806}	0
365	Giant Mallet	Hardwood Column {Yellow} x1 {2783}	Hardwood Pedestal {Yellow} x1 {2807}	0
366	Giant Mallet	Hardwood Column {Blue} x1 {2784}	Hardwood Pedestal {Blue} x1 {2808}	0
367	Giant Mallet	Hardwood Column {White} x1 {2777}	Hardwood Capital {White} x1 {2785}	0
368	Giant Mallet	Hardwood Column {Black} x1 {2778}	Hardwood Capital {Black} x1 {2786}	0
369	Giant Mallet	Hardwood Column {Purple} x1 {2779}	Hardwood Capital {Purple} x1 {2787}	0
370	Giant Mallet	Hardwood Column {Pink} x1 {2780}	Hardwood Capital {Pink} x1 {2788}	0
371	Giant Mallet	Hardwood Column {Red} x1 {2781}	Hardwood Capital {Red} x1 {2789}	0
372	Giant Mallet	Hardwood Column {Green} x1 {2782}	Hardwood Capital {Green} x1 {2790}	0
373	Giant Mallet	Hardwood Column {Yellow} x1 {2783}	Hardwood Capital {Yellow} x1 {2791}	0
374	Giant Mallet	Hardwood Column {Blue} x1 {2784}	Hardwood Capital {Blue} x1 {2792}	0
375	Giant Mallet	Carpet {White} x1 {2625}	Carpet {White} x1 {2625}	0
376	Giant Mallet	Carpet {Black} x1 {2626}	Carpet {Black} x1 {2626}	0
377	Giant Mallet	Carpet {Purple} x1 {2627}	Carpet {Purple} x1 {2627}	0
378	Giant Mallet	Carpet {Pink} x1 {2628}	Carpet {Pink} x1 {2628}	0
379	Giant Mallet	Carpet {Red} x1 {2629}	Carpet {Red} x1 {2629}	0
380	Giant Mallet	Carpet {Green} x1 {2630}	Carpet {Green} x1 {2630}	0
381	Giant Mallet	Carpet {Yellow} x1 {2631}	Carpet {Yellow} x1 {2631}	0
382	Giant Mallet	Carpet {Blue} x1 {2632}	Carpet {Blue} x1 {2632}	0
383	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
384	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
385	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
386	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
387	Unscoopable	Nothing {-1}	0	0
388	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
389	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
390	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
391	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
392	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
393	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
394	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
395	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
396	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
397	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
398	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
399	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
400	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
401	Ultimallet	Nothing {-1}	Vault Tile x1 {2544}	0
402	Giant Mallet	Gold Brick x1 {1565}	Gold Brick x1 {1565}	0
403	Giant Mallet	Spaceship Wall x1 {211}	Spaceship Wall x1 {211}	0
404	Giant Mallet	Shiny Spaceship Wall x1 {212}	Shiny Spaceship Wall x1 {212}	0
405	Sledgehammer	Citadel Wall x1 {2495}	Citadel Battlement x1 {402}	0
406	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
407	Sledgehammer	Golden Citadel Capital x1 {2301}	Golden Citadel Capital x1 {2301}	0
408	Sledgehammer	Alcoved Citadel Wall x1 {2303}	Alcoved Citadel Wall x1 {2303}	0
409	Sledgehammer	Golden Citadel Foundation x1 {2302}	Golden Citadel Foundation x1 {2302}	0
410	Sledgehammer	Patterned Citadel Wall x1 {10}	Patterned Citadel Wall x1 {10}	0
411	Giant Mallet	Golden Tile x1 {1703}	Golden Tile x1 {1703}	0
412	Ultimallet	Nothing {-1}	Golden Tile x1 {1703}	0
413	Intangible Block	Nothing {-1}	Nothing {-1}	Malhalla floor
414	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
415	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
416	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
417	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
418	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
419	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
420	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
421	Giant Mallet	Spaceship Wall {White} x1 {95}	Spaceship Wall {White} x1 {95}	0
422	Giant Mallet	Spaceship Wall {Black} x1 {96}	Spaceship Wall {Black} x1 {96}	0
423	Giant Mallet	Spaceship Wall {Purple} x1 {97}	Spaceship Wall {Purple} x1 {97}	0
424	Giant Mallet	Spaceship Wall {Pink} x1 {98}	Spaceship Wall {Pink} x1 {98}	0
425	Giant Mallet	Spaceship Wall {Red} x1 {99}	Spaceship Wall {Red} x1 {99}	0
426	Giant Mallet	Spaceship Wall {Green} x1 {100}	Spaceship Wall {Green} x1 {100}	0
427	Giant Mallet	Spaceship Wall {Yellow} x1 {101}	Spaceship Wall {Yellow} x1 {101}	0
428	Giant Mallet	Spaceship Wall {Blue} x1 {102}	Spaceship Wall {Blue} x1 {102}	0
429	Giant Mallet	Shiny Spaceship Wall {White} x1 {134}	Shiny Spaceship Wall {White} x1 {134}	0
430	Giant Mallet	Shiny Spaceship Wall {Black} x1 {135}	Shiny Spaceship Wall {Black} x1 {135}	0
431	Giant Mallet	Shiny Spaceship Wall {Purple} x1 {136}	Shiny Spaceship Wall {Purple} x1 {136}	0
432	Giant Mallet	Shiny Spaceship Wall {Pink} x1 {137}	Shiny Spaceship Wall {Pink} x1 {137}	0
433	Giant Mallet	Shiny Spaceship Wall {Red} x1 {138}	Shiny Spaceship Wall {Red} x1 {138}	0
434	Giant Mallet	Shiny Spaceship Wall {Green} x1 {139}	Shiny Spaceship Wall {Green} x1 {139}	0
435	Giant Mallet	Shiny Spaceship Wall {Yellow} x1 {140}	Shiny Spaceship Wall {Yellow} x1 {140}	0
436	Giant Mallet	Shiny Spaceship Wall {Blue} x1 {141}	Shiny Spaceship Wall {Blue} x1 {141}	0
437	Giant Mallet	Woodless Timbered Wall x1 {680}	Woodless Timbered Wall x1 {680}	0
438	Giant Mallet	Banded Timbered Wall x1 {681}	Banded Timbered Wall x1 {681}	0
439	Giant Mallet	Nothing {-1}	Nothing {-1}	0
440	Giant Mallet	Nothing {-1}	Nothing {-1}	0
441	Giant Mallet	Nothing {-1}	Nothing {-1}	0
442	Giant Mallet	Nothing {-1}	Nothing {-1}	0
443	Giant Mallet	Nothing {-1}	Nothing {-1}	0
444	Giant Mallet	Nothing {-1}	Nothing {-1}	0
445	Giant Mallet	Nothing {-1}	Nothing {-1}	0
446	Giant Mallet	Nothing {-1}	Nothing {-1}	0
447	Giant Mallet	Banded Timbered Wall {White} x1 {727}	Banded Timbered Wall {White} x1 {727}	0
448	Giant Mallet	Banded Timbered Wall {Black} x1 {728}	Banded Timbered Wall {Black} x1 {728}	0
449	Giant Mallet	Banded Timbered Wall {Purple} x1 {729}	Banded Timbered Wall {Purple} x1 {729}	0
450	Giant Mallet	Banded Timbered Wall {Pink} x1 {730}	Banded Timbered Wall {Pink} x1 {730}	0
451	Giant Mallet	Banded Timbered Wall {Red} x1 {731}	Banded Timbered Wall {Red} x1 {731}	0
452	Giant Mallet	Banded Timbered Wall {Green} x1 {732}	Banded Timbered Wall {Green} x1 {732}	0
453	Giant Mallet	Banded Timbered Wall {Yellow} x1 {733}	Banded Timbered Wall {Yellow} x1 {733}	0
454	Giant Mallet	Banded Timbered Wall {Blue} x1 {734}	Banded Timbered Wall {Blue} x1 {734}	0
455	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
456	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
457	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
458	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
459	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
460	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
461	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
462	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
463	Giant Mallet	Hardwood Tile {White} x1 {2769}	Hardwood Tile {White} x1 {2769}	0
464	Giant Mallet	Hardwood Tile {Black} x1 {2770}	Hardwood Tile {Black} x1 {2770}	0
465	Giant Mallet	Hardwood Tile {Purple} x1 {2771}	Hardwood Tile {Purple} x1 {2771}	0
466	Giant Mallet	Hardwood Tile {Pink} x1 {2772}	Hardwood Tile {Pink} x1 {2772}	0
467	Giant Mallet	Hardwood Tile {Red} x1 {2773}	Hardwood Tile {Red} x1 {2773}	0
468	Giant Mallet	Hardwood Tile {Green} x1 {2774}	Hardwood Tile {Green} x1 {2774}	0
469	Giant Mallet	Hardwood Tile {Yellow} x1 {2775}	Hardwood Tile {Yellow} x1 {2775}	0
470	Giant Mallet	Hardwood Tile {Blue} x1 {2776}	Hardwood Tile {Blue} x1 {2776}	0
471	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
472	Giant Mallet	Red-Brick Wall x1 {653}	Red-Brick Wall x1 {653}	0
473	Sledgehammer	Diamond x1 {656}	Diamond Vein x1 {1114}	0
474	Giant Mallet	Nothing {-1}	Nothing {-1}	0
475	Giant Mallet	Nothing {-1}	Nothing {-1}	0
476	Sledgehammer	Magnetite x1 {669}	Magnetite Vein x1 {668}	0
477	Sledgehammer	Siltstone x1 {636}	Siltstone x1 {636}	0
478	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
479	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
480	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
481	Giant Mallet	Nothing {-1}	Nothing {-1}	0
482	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
483	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
484	Giant Mallet	Red-Brick Floor x1 {1154}	Red-Brick Floor x1 {1154}	0
485	Giant Mallet	Crazing Paving x1 {1155}	Crazing Paving x1 {1155}	0
486	Giant Mallet	Copper Wall x1 {1156}	Copper Wall x1 {1156}	0
487	Giant Mallet	Marble x1 {1157}	Marble x1 {1157}	0
488	Giant Mallet	Silver Birch Lumber x1 {1158}	Silver Birch Lumber x1 {1158}	0
489	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
490	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
491	Giant Mallet	Dark Bark x1 {2076}	Dark Bark x1 {2076}	0
492	Cypress Stick	Teal Leaves x1 {2077}	Teal Leaves x1 {2077}	0
493	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
494	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
495	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
496	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
497	Giant Mallet	Spoiled Soil x1 {1784}	Bloodstained Soil x1 {2083}	0
498	Giant Mallet	Spoiled Soil x1 {1784}	Bloodstained Soil x1 {2083}	0
499	Giant Mallet	Padded Floor x1 {1464}	Padded Floor x1 {1464}	0
500	Giant Mallet	Spoiled Soil x1 {1784}	Leafy Spoiled Soil x1 {2084}	0
501	Giant Mallet	Spoiled Soil x1 {1784}	Leafy Spoiled Soil x1 {2084}	0
502	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
503	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
504	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
505	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
506	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
507	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
508	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
509	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
510	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
511	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
512	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
513	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
514	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
515	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
516	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
517	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
518	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
519	Cypress Stick	Wood x3 {407}	Cracked Floorboard x1 {2169}	0
520	Giant Mallet	Blackened Bark x1 {2249}	Blackened Bark x1 {2249}	0
521	Giant Mallet	Spoiled Soil x1 {1784}	Bloodstained Soil x1 {2083}	0
522	Giant Mallet	Malachite x1 {2184}	Malachite x1 {2184}	0
523	Ultimallet	Nothing {-1}	Patterned Vault Wall x1 {226}	0
524	Ultimallet	Nothing {-1}	Nothing {-1}	0
525	Giant Mallet	Adobe Wall x1 {2291}	Adobe Capital x1 {2187}	0
526	Giant Mallet	Adobe Wall x1 {2291}	Adobe Wall (Midsection) x1 {2188}	0
527	Giant Mallet	Adobe Wall x1 {2291}	Adobe Pedestal x1 {2189}	0
528	Giant Mallet	Alcoved Adobe Wall x1 {2190}	Alcoved Adobe Wall x1 {2190}	0
529	Giant Mallet	Copper Floor x1 {2247}	Copper Floor x1 {2247}	0
530	Giant Mallet	Sooty Softwood x1 {2255}	Sooty Softwood x1 {2255}	0
531	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
532	Giant Mallet	Heartwood x1 {2253}	Heartwood x1 {2253}	0
533	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
534	Sledgehammer	White Dye x1 {271}	White Dye Vein x1 {2256}	0
535	Sledgehammer	Black Dye x1 {272}	Black Dye Vein x1 {2257}	0
536	Sledgehammer	Purple Dye x1 {273}	Purple Dye Vein x1 {2258}	0
537	Sledgehammer	Pink Dye x1 {274}	Pink Dye Vein x1 {2259}	0
538	Sledgehammer	Red Dye x1 {275}	Red Dye Vein x1 {2260}	0
539	Sledgehammer	Green Dye x1 {276}	Green Dye Vein x1 {2261}	0
540	Sledgehammer	Yellow Dye x1 {277}	Yellow Dye Vein x1 {2262}	0
541	Sledgehammer	Blue Dye x1 {278}	Blue Dye Vein x1 {2263}	0
542	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
543	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
544	Giant Mallet	Carpet x1 {1050}	Carpet x1 {1050}	0
545	Giant Mallet	Golden Castle Capital x1 {2372}	Golden Castle Capital x1 {2372}	0
546	Giant Mallet	Alcoved Castle Wall x1 {2373}	Alcoved Castle Wall x1 {2373}	0
547	Giant Mallet	Golden Castle Foundation x1 {2374}	Golden Castle Foundation x1 {2374}	0
548	Giant Mallet	Stone x2 {404}	Cracked Castle Tile x1 {2375}	0
549	Giant Mallet	Earth x1 {1001}	Battlefield Earth x1 {2376}	0
550	Sledgehammer	Citadel Wall x1 {2495}	Citadel Capital x1 {2451}	0
551	Sledgehammer	Citadel Wall x1 {2495}	Citadel Foundation x1 {2452}	0
552	Sledgehammer	Citadel Wall x1 {2495}	Citadel Wall Midsection x1 {2453}	0
553	Sledgehammer	Citadel Floor x1 {2454}	Citadel Floor x1 {2454}	0
554	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
555	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
556	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
557	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
558	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
559	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
560	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	Looks like nothing is there. Can pass through.
561	Giant Mallet	Plaster x1 {2615}	Plaster x1 {2615}	0
562	Giant Mallet	Plaster {White} x1 {2833}	Plaster {White} x1 {2833}	0
563	Giant Mallet	Plaster {Black} x1 {2834}	Plaster {Black} x1 {2834}	0
564	Giant Mallet	Plaster {Purple} x1 {2835}	Plaster {Purple} x1 {2835}	0
565	Giant Mallet	Plaster {Pink} x1 {2836}	Plaster {Pink} x1 {2836}	0
566	Giant Mallet	Plaster {Red} x1 {2837}	Plaster {Red} x1 {2837}	0
567	Giant Mallet	Plaster {Green} x1 {2838}	Plaster {Green} x1 {2838}	0
568	Giant Mallet	Plaster {Yellow} x1 {2839}	Plaster {Yellow} x1 {2839}	0
569	Giant Mallet	Plaster {Blue} x1 {2840}	Plaster {Blue} x1 {2840}	0
570	Giant Mallet	Floorboard {White} x1 {2809}	Floorboard {White} x1 {2809}	0
571	Giant Mallet	Floorboard {Black} x1 {2810}	Floorboard {Black} x1 {2810}	0
572	Giant Mallet	Floorboard {Purple} x1 {2811}	Floorboard {Purple} x1 {2811}	0
573	Giant Mallet	Floorboard {Pink} x1 {2812}	Floorboard {Pink} x1 {2812}	0
574	Giant Mallet	Floorboard {Red} x1 {2813}	Floorboard {Red} x1 {2813}	0
575	Giant Mallet	Floorboard {Green} x1 {2814}	Floorboard {Green} x1 {2814}	0
576	Giant Mallet	Floorboard {Yellow} x1 {2815}	Floorboard {Yellow} x1 {2815}	0
577	Giant Mallet	Floorboard {Blue} x1 {2816}	Floorboard {Blue} x1 {2816}	0
578	Giant Mallet	Padded Floor {White} x1 {2633}	Padded Floor {White} x1 {2633}	0
579	Giant Mallet	Padded Floor {Black} x1 {2634}	Padded Floor {Black} x1 {2634}	0
580	Giant Mallet	Padded Floor {Purple} x1 {2635}	Padded Floor {Purple} x1 {2635}	0
581	Giant Mallet	Padded Floor {Pink} x1 {2636}	Padded Floor {Pink} x1 {2636}	0
582	Giant Mallet	Padded Floor {Red} x1 {2637}	Padded Floor {Red} x1 {2637}	0
583	Giant Mallet	Padded Floor {Green} x1 {2638}	Padded Floor {Green} x1 {2638}	0
584	Giant Mallet	Padded Floor {Yellow} x1 {2639}	Padded Floor {Yellow} x1 {2639}	0
585	Giant Mallet	Padded Floor {Blue} x1 {2640}	Padded Floor {Blue} x1 {2640}	0
586	Giant Mallet	Nothing {-1}	Stony Soil {1759}	0
587	Giant Mallet	Nothing {-1}	Stony Soil {1759}	0
588	Giant Mallet	Iron Block x1 {1134}	Iron Block x1 {1134}	0
589	Giant Mallet	Concrete Block x1 {1133}	Concrete Block x1 {1133}	0
590	Giant Mallet	Sun Sigil Block x1 {1196}	Sun Sigil Block x1 {1196}	0
591	Giant Mallet	Star Sigil Block x1 {1197}	Star Sigil Block x1 {1197}	0
592	Giant Mallet	Moon Sigil Block x1 {1198}	Moon Sigil Block x1 {1198}	0
593	Giant Mallet	Water Sigil Block x1 {1199}	Water Sigil Block x1 {1199}	0
594	Giant Mallet	Soul Sigil Block x1 {1200}	Soul Sigil Block x1 {1200}	0
595	Giant Mallet	Sandstone Brick x1 {229}	Sandstone Brick x1 {229}	0
596	Cypress Stick	Nothing {-1}	Withered Leaves x1 {240}	0
597	Giant Mallet	Nothing {-1}	Nothing {-1}	0
598	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
599	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
600	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
601	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
602	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
603	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
604	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
605	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
606	Giant Mallet	Sanguine Sandstone x1 {601}	Sanguine Sandstone x1 {601}	0
607	Giant Mallet	Sanguine Cinders x1 {603}	Sanguine Cinders x1 {603}	0
608	Giant Mallet	Sanguine Sand x1 {600}	Sanguine Sand x1 {600}	0
609	Giant Mallet	Sanguine Sandy Sandstone x1 {602}	Sanguine Sandy Sandstone x1 {602}	0
610	Sledgehammer	Scales x1 {942}	Scales x1 {942}	0
611	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
612	Giant Mallet	Silver Brick x1 {439}	Silver Brick x1 {439}	0
613	Giant Mallet	Sooty Silver Brick x1 {440}	Sooty Silver Brick x1 {440}	0
614	Giant Mallet	Grass Seed x3 {163}	Seeded Spoiled Soil x1 {442}	0
615	Giant Mallet	Tomato Seed x3 {1831}	Tomato Seed x3 {1831}	0
616	Giant Mallet	Sugar Cane Seedling x3 {1825}	Sugar Cane Seedling x3 {1825}	0
617	Giant Mallet	Pumpkin Seed x1 {1830}	Pumpkin Seed x1 {1830}	0
618	Giant Mallet	Pumpkin Seed x3 {1830}	Pumpkin Seed x3 {1830}	0
619	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
620	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
621	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
622	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
623	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
624	Giant Mallet	Silver Tile x1 {1597}	Silver Tile x1 {1597}	0
625	War Hammer	Nothing {-1}	Obsidian x1 {1009}	0
626	Sledgehammer	Light Dolomite x1 {1748}	Light Dolomite x1 {1748}	0
627	Giant Mallet	Clodstone x1 {1020}	Clodstone x1 {1020}	0
628	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
629	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
630	Giant Mallet	Masonry Wall x1 {1761}	Masonry Wall x1 {1761}	0
631	Giant Mallet	Patterned Vault Wall x1 {226}	Patterned Vault Wall x1 {226}	0
632	Giant Mallet	Patterned Vault Wall x1 {226}	Patterned Vault Wall x1 {226}	0
633	Giant Mallet	Vault Tile x1 {2544}	Vault Tile x1 {2544}	0
634	Giant Mallet	Vault Wall x1 {1025}	Vault Wall x1 {1025}	0
635	Giant Mallet	Viny Vault Wall x1 {1026}	Viny Vault Wall x1 {1026}	0
636	Giant Mallet	Stone x2 {404}	Cracked Vault Wall x1 {1027}	0
637	Intangible With Hammer	Nothing {-1}	Nothing {-1}	Malhalla floor
638	Giant Mallet	Iron Block {White} x1 {3119}	Iron Block {White} x1 {3119}	0
639	Giant Mallet	Iron Block {Black} x1 {3120}	Iron Block {Black} x1 {3120}	0
640	Giant Mallet	Iron Block {Purple} x1 {3121}	Iron Block {Purple} x1 {3121}	0
641	Giant Mallet	Iron Block {Pink} x1 {3122}	Iron Block {Pink} x1 {3122}	0
642	Giant Mallet	Iron Block {Red} x1 {3123}	Iron Block {Red} x1 {3123}	0
643	Giant Mallet	Iron Block {Green} x1 {3124}	Iron Block {Green} x1 {3124}	0
644	Giant Mallet	Iron Block {Yellow} x1 {3125}	Iron Block {Yellow} x1 {3125}	0
645	Giant Mallet	Iron Block {Blue} x1 {3126}	Iron Block {Blue} x1 {3126}	0
646	Giant Mallet	Sandstone Brick {White} x1 {3127}	Sandstone Brick {White} x1 {3127}	0
647	Giant Mallet	Sandstone Brick {Black} x1 {3128}	Sandstone Brick {Black} x1 {3128}	0
648	Giant Mallet	Sandstone Brick {Purple} x1 {3129}	Sandstone Brick {Purple} x1 {3129}	0
649	Giant Mallet	Sandstone Brick {Pink} x1 {3130}	Sandstone Brick {Pink} x1 {3130}	0
650	Giant Mallet	Sandstone Brick {Red} x1 {3131}	Sandstone Brick {Red} x1 {3131}	0
651	Giant Mallet	Sandstone Brick {Green} x1 {3132}	Sandstone Brick {Green} x1 {3132}	0
652	Giant Mallet	Sandstone Brick {Yellow} x1 {3133}	Sandstone Brick {Yellow} x1 {3133}	0
653	Giant Mallet	Sandstone Brick {Blue} x1 {3134}	Sandstone Brick {Blue} x1 {3134}	0
654	Giant Mallet	Castle Tile {White} x1 {3135}	Castle Tile {White} x1 {3135}	0
655	Giant Mallet	Castle Tile {Black} x1 {3136}	Castle Tile {Black} x1 {3136}	0
656	Giant Mallet	Castle Tile {Purple} x1 {3137}	Castle Tile {Purple} x1 {3137}	0
657	Giant Mallet	Castle Tile {Pink} x1 {3138}	Castle Tile {Pink} x1 {3138}	0
658	Giant Mallet	Castle Tile {Red} x1 {3139}	Castle Tile {Red} x1 {3139}	0
659	Giant Mallet	Castle Tile {Green} x1 {3140}	Castle Tile {Green} x1 {3140}	0
660	Giant Mallet	Castle Tile {Yellow} x1 {3141}	Castle Tile {Yellow} x1 {3141}	0
661	Giant Mallet	Castle Tile {Blue} x1 {3142}	Castle Tile {Blue} x1 {3142}	0
662	Giant Mallet	Carved Castle Tile {White} x1 {3143}	Carved Castle Tile {White} x1 {3143}	0
663	Giant Mallet	Carved Castle Tile {Black} x1 {3144}	Carved Castle Tile {Black} x1 {3144}	0
664	Giant Mallet	Carved Castle Tile {Purple} x1 {3145}	Carved Castle Tile {Purple} x1 {3145}	0
665	Giant Mallet	Carved Castle Tile {Pink} x1 {3146}	Carved Castle Tile {Pink} x1 {3146}	0
